Country,País,Year,Sector,%GDP,ISO3
European Union - 27 countries (from 2020),Unión Europea (27 países),2012,All Sectors,2.06,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2012,All Sectors,2.08,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2012,All Sectors,2.08,EMU
Belgium,Bélgica,2012,All Sectors,2.27,BEL
Bulgaria,Bulgaria,2012,All Sectors,0.6,BGR
Czechia,Chequia,2012,All Sectors,1.76,CZE
Denmark,Dinamarca,2012,All Sectors,2.98,DNK
Germany,Alemania,2012,All Sectors,2.82,DEU
Estonia,Estonia,2012,All Sectors,2.1,EST
Ireland,Irlanda,2012,All Sectors,1.55,IRL
Greece,Grecia,2012,All Sectors,0.72,GRC
Spain,España,2012,All Sectors,1.29,ESP
France,Francia,2012,All Sectors,2.23,FRA
Croatia,Croacia,2012,All Sectors,0.74,HRV
Italy,Italia,2012,All Sectors,1.26,ITA
Cyprus,Chipre,2012,All Sectors,0.44,CYP
Latvia,Letonia,2012,All Sectors,0.69,LVA
Lithuania,Lituania,2012,All Sectors,0.9,LTU
Luxembourg,Luxemburgo,2012,All Sectors,1.21,LUX
Hungary,Hungría,2012,All Sectors,1.26,HUN
Malta,Malta,2012,All Sectors,0.79,MLT
Netherlands,Países Bajos,2012,All Sectors,1.9,NLD
Austria,Austria,2012,All Sectors,2.93,AUT
Poland,Polonia,2012,All Sectors,0.88,POL
Portugal,Portugal,2012,All Sectors,1.38,PRT
Romania,Rumanía,2012,All Sectors,0.46,ROU
Slovenia,Eslovenia,2012,All Sectors,2.58,SVN
Slovakia,Eslovaquia,2012,All Sectors,0.79,SVK
Finland,Finlandia,2012,All Sectors,3.41,FIN
Sweden,Suecia,2012,All Sectors,3.25,SWE
Norway,Noruega,2012,All Sectors,1.61,NOR
Switzerland,Suiza,2012,All Sectors,2.87,CHE
United Kingdom,Reino Unido,2012,All Sectors,1.58,GBR
Bosnia and Herzegovina,Bosnia y Herzegovina,2012,All Sectors,0.27,BIH
Serbia,Serbia,2012,All Sectors,0.82,SRB
Türkiye,Turquía,2012,All Sectors,0.83,TUR
Russia,Rusia,2012,All Sectors,1.03,RUS
United States,Estados Unidos,2012,All Sectors,2.67,USA
China except Hong Kong,China (excepto Hong Kong),2012,All Sectors,1.91,CHN
Japan,Japón,2012,All Sectors,3.17,JPN
South Korea,Corea del Sur,2012,All Sectors,3.69,KOR
