TERRITORIO,TERRITORIO_CODE,TIME_PERIOD,TIME_PERIOD_CODE,SEXO,SEXO_CODE,SECTOR_EJECUCION,SECTOR_EJECUCION_CODE,MEDIDAS,MEDIDAS_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION_CODE,ESTADO_OBSERVACION,NOTAS_OBSERVACION
España,ES,2021,2021,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,249473.9,,,,
España,ES,2021,2021,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,148475.4,,,,
España,ES,2021,2021,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,100998.5,,,,
España,ES,2021,2021,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,154125.3,,,,
España,ES,2021,2021,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,92863.1,,,,
España,ES,2021,2021,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,61262.2,,,,
España,ES,2022,2022,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,263407.1,,,,
España,ES,2022,2022,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,156010.5,,,,
España,ES,2022,2022,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,107396.6,,,,
España,ES,2022,2022,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,161750.5,,,,
España,ES,2022,2022,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,97760.4,,,,
España,ES,2022,2022,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,63990.1,,,,
España,ES,2023,2023,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,282415.2,,,,
España,ES,2023,2023,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,166835.6,,,,
España,ES,2023,2023,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,115579.6,,,,
España,ES,2023,2023,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,175043.7,,,,
España,ES,2023,2023,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,105639.6,,,,
España,ES,2023,2023,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,69404.1,,,,
Canarias,ES70,2021,2021,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,4009.1,,,,
Canarias,ES70,2021,2021,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2402.4,,,,
Canarias,ES70,2021,2021,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1606.7,,,,
Canarias,ES70,2021,2021,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,2946.6,,,,
Canarias,ES70,2021,2021,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1788.4,,,,
Canarias,ES70,2021,2021,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1158.2,,,,
Canarias,ES70,2022,2022,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,4216.6,,,,
Canarias,ES70,2022,2022,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2542.6,,,,
Canarias,ES70,2022,2022,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1674,,,,
Canarias,ES70,2022,2022,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,2811.9,,,,
Canarias,ES70,2022,2022,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1725.9,,,,
Canarias,ES70,2022,2022,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1086,,,,
Canarias,ES70,2023,2023,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,4644,,,,
Canarias,ES70,2023,2023,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2810.6,,,,
Canarias,ES70,2023,2023,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1833.4,,,,
Canarias,ES70,2023,2023,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,3045.8,,,,
Canarias,ES70,2023,2023,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1880.3,,,,
Canarias,ES70,2023,2023,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1165.5,,,,
Galicia,ES11,2021,2021,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,11373.8,,,,
Galicia,ES11,2021,2021,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,6692.1,,,,
Galicia,ES11,2021,2021,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,4681.7,,,,
Galicia,ES11,2021,2021,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,7459.1,,,,
Galicia,ES11,2021,2021,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,4486.7,,,,
Galicia,ES11,2021,2021,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,2972.4,,,,
Galicia,ES11,2022,2022,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,12349.5,,,,
Galicia,ES11,2022,2022,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,7338,,,,
Galicia,ES11,2022,2022,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,5011.5,,,,
Galicia,ES11,2022,2022,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,7984.9,,,,
Galicia,ES11,2022,2022,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,4830.2,,,,
Galicia,ES11,2022,2022,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,3154.7,,,,
Galicia,ES11,2023,2023,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,13856.3,,,,
Galicia,ES11,2023,2023,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,8240.5,,,,
Galicia,ES11,2023,2023,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,5615.8,,,,
Galicia,ES11,2023,2023,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,9056.5,,,,
Galicia,ES11,2023,2023,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,5575.2,,,,
Galicia,ES11,2023,2023,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,3481.3,,,,
Principado de Asturias,ES12,2021,2021,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,3385.4,,,,
Principado de Asturias,ES12,2021,2021,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2100.7,,,,
Principado de Asturias,ES12,2021,2021,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1284.7,,,,
